entidad_federativa,Unnamed: 0,municipio,distancia,grado_accesibilidad
Baja California,2049,Ensenada,"7,489.90",Accesibilidad muy baja
Baja California,2050,Ensenada,"10,237.60",Accesibilidad muy baja
Baja California,2051,Ensenada,141.4,Accesibilidad alta
Baja California,2052,Ensenada,0,Accesibilidad alta
Baja California,2053,Ensenada,"6,411.90",Accesibilidad muy baja
Baja California,2054,Ensenada,"1,265.70",Accesibilidad baja
Baja California,2055,Ensenada,0,Accesibilidad alta
Baja California,2056,Ensenada,"10,178.20",Accesibilidad muy baja
Baja California,2057,Ensenada,"1,614.20",Accesibilidad media
Baja California,2058,Ensenada,707.1,Accesibilidad muy alta
Baja California,2059,Ensenada,"1,645.00",Accesibilidad media
Baja California,2060,Ensenada,0,Accesibilidad alta
Baja California,2061,Ensenada,424.3,Accesibilidad alta
Baja California,2062,Ensenada,0,Accesibilidad muy alta
Baja California,2063,Ensenada,857.1,Accesibilidad muy alta
Baja California,2064,Ensenada,"6,529.90",Accesibilidad muy baja
Baja California,2065,Ensenada,"3,600.00",Accesibilidad muy baja
Baja California,2066,Ensenada,"1,132.80",Accesibilidad media
Baja California,2067,Ensenada,"1,586.40",Accesibilidad media
Baja California,2068,Ensenada,"41,666.90",Accesibilidad muy baja
Baja California,2069,Ensenada,"4,367.80",Accesibilidad muy baja
Baja California,2070,Ensenada,"12,761.00",Accesibilidad baja
Baja California,2071,Ensenada,"36,454.30",Accesibilidad muy baja
Baja California,2072,Ensenada,"2,882.80",Accesibilidad muy baja
Baja California,2073,Ensenada,"1,852.10",Accesibilidad media
Baja California,2074,Ensenada,"1,689.90",Accesibilidad media
Baja California,2075,Ensenada,"1,132.80",Accesibilidad baja
Baja California,2076,Ensenada,"7,293.30",Accesibilidad muy baja
Baja California,2077,Ensenada,"1,900.00",Accesibilidad media
Baja California,2078,Ensenada,"1,514.20",Accesibilidad media
Baja California,2079,Ensenada,200,Accesibilidad alta
Baja California,2080,Ensenada,"6,165.70",Accesibilidad muy baja
Baja California,2081,Ensenada,"10,055.40",Accesibilidad muy baja
Baja California,2082,Ensenada,"183,322.10",Accesibilidad muy baja
Baja California,2083,Ensenada,100,Accesibilidad alta
Baja California,2084,Ensenada,"3,864.80",Accesibilidad muy baja
Baja California,2085,Ensenada,100,Accesibilidad alta
Baja California,2086,Ensenada,"6,624.00",Accesibilidad muy baja
Baja California,2087,Ensenada,282.8,Accesibilidad alta
Baja California,2088,Ensenada,"6,442.60",Accesibilidad muy baja
Baja California,2089,Ensenada,200,Accesibilidad muy alta
Baja California,2090,Ensenada,200,Accesibilidad alta
Baja California,2091,Ensenada,491.4,Accesibilidad muy alta
Baja California,2092,Ensenada,"13,848.90",Accesibilidad muy baja
Baja California,2093,Ensenada,"6,482.80",Accesibilidad muy baja
Baja California,2094,Ensenada,0,Accesibilidad alta
Baja California,2095,Ensenada,"7,397.10",Accesibilidad muy baja
Baja California,2096,Ensenada,"1,931.40",Accesibilidad media
Baja California,2097,Ensenada,"1,743.50",Accesibilidad media
Baja California,2098,Ensenada,"12,376.10",Accesibilidad muy baja
Baja California,2099,Ensenada,"4,401.20",Accesibilidad muy baja
Baja California,2100,Ensenada,"1,200.00",Accesibilidad media
Baja California,2101,Ensenada,"1,331.40",Accesibilidad media
Baja California,2102,Ensenada,"2,226.30",Accesibilidad muy baja
Baja California,2103,Ensenada,"12,185.30",Accesibilidad muy baja
Baja California,2104,Ensenada,"2,724.30",Accesibilidad muy baja
Baja California,2105,Ensenada,"10,280.50",Accesibilidad muy baja
Baja California,2106,Ensenada,"1,432.80",Accesibilidad media
Baja California,2107,Ensenada,"2,779.90",Accesibilidad muy baja
Baja California,2108,Ensenada,"8,302.10",Accesibilidad muy baja
Baja California,2109,Ensenada,"9,067.80",Accesibilidad muy baja
Baja California,2110,Ensenada,"4,831.40",Accesibilidad muy baja
Baja California,2111,Ensenada,241.4,Accesibilidad alta
Baja California,2112,Ensenada,791.4,Accesibilidad alta
Baja California,2113,Ensenada,100,Accesibilidad alta
Baja California,2114,Ensenada,382.8,Accesibilidad muy alta
Baja California,2115,Ensenada,"23,041.50",Accesibilidad muy baja
Baja California,2116,Ensenada,"22,629.40",Accesibilidad muy baja
Baja California,2117,Ensenada,0,Accesibilidad alta
Baja California,2118,Ensenada,965.7,Accesibilidad alta
Baja California,2119,Ensenada,"2,882.80",Accesibilidad muy baja
Baja California,2120,Ensenada,"2,982.80",Accesibilidad muy baja
Baja California,2121,Ensenada,"6,500.00",Accesibilidad muy baja
Baja California,2122,Ensenada,141.4,Accesibilidad alta
Baja California,2123,Ensenada,241.4,Accesibilidad alta
Baja California,2124,Ensenada,"6,928.40",Accesibilidad baja
Baja California,2125,Ensenada,"3,224.30",Accesibilidad muy baja
Baja California,2126,Ensenada,541.4,Accesibilidad alta
Baja California,2127,Ensenada,"1,997.10",Accesibilidad media
Baja California,2128,Ensenada,"8,735.50",Accesibilidad muy baja
Baja California,2129,Ensenada,"5,518.40",Accesibilidad muy baja
Baja California,2130,Ensenada,600,Accesibilidad alta
Baja California,2131,Ensenada,"7,450.00",Accesibilidad muy baja
Baja California,2132,Ensenada,"1,682.80",Accesibilidad media
Baja California,2133,Ensenada,"1,107.10",Accesibilidad media
Baja California,2134,Ensenada,"6,184.90",Accesibilidad muy baja
Baja California,2135,Ensenada,"2,464.20",Accesibilidad baja
Baja California,2136,Ensenada,"9,623.40",Accesibilidad muy baja
Baja California,2137,Ensenada,"15,570.80",Accesibilidad muy baja
Baja California,2138,Ensenada,"1,131.40",Accesibilidad media
Baja California,2139,Ensenada,424.3,Accesibilidad muy alta
Baja California,2140,Ensenada,"31,561.00",Accesibilidad muy baja
Baja California,2141,Ensenada,"1,365.70",Accesibilidad media
Baja California,2142,Ensenada,100,Accesibilidad alta
Baja California,2143,Ensenada,441.4,Accesibilidad alta
Baja California,2144,Ensenada,"1,948.50",Accesibilidad media
Baja California,2145,Ensenada,"1,239.90",Accesibilidad media
Baja California,2146,Ensenada,482.8,Accesibilidad alta
Baja California,2147,Ensenada,"17,852.10",Accesibilidad muy baja
Baja California,2148,Ensenada,100,Accesibilidad muy alta
Baja California,2149,Ensenada,"10,866.90",Accesibilidad muy baja
Baja California,2150,Ensenada,250,Accesibilidad alta
Baja California,2151,Ensenada,400,Accesibilidad muy alta
Baja California,2152,Ensenada,"11,915.20",Accesibilidad muy baja
Baja California,2153,Ensenada,"14,196.60",Accesibilidad muy baja
Baja California,2154,Ensenada,200,Accesibilidad alta
Baja California,2155,Ensenada,200,Accesibilidad alta
Baja California,2156,Ensenada,"49,044.60",Accesibilidad muy baja
Baja California,2157,Ensenada,"7,032.80",Accesibilidad muy baja
Baja California,2158,Ensenada,0,Accesibilidad alta
Baja California,2159,Ensenada,"171,522.80",Accesibilidad muy baja
Baja California,2160,Ensenada,"1,795.00",Accesibilidad media
Baja California,2161,Ensenada,0,Accesibilidad alta
Baja California,2162,Ensenada,"17,218.70",Accesibilidad muy baja
Baja California,2163,Ensenada,"33,178.60",Accesibilidad muy baja
Baja California,2164,Ensenada,"1,295.00",Accesibilidad media
Baja California,2165,Ensenada,200,Accesibilidad alta
Baja California,2166,Ensenada,591.4,Accesibilidad alta
Baja California,2167,Ensenada,"52,456.30",Accesibilidad muy baja
Baja California,2168,Ensenada,100,Accesibilidad alta
Baja California,2169,Ensenada,"11,430.90",Accesibilidad muy baja
Baja California,2170,Ensenada,"2,776.30",Accesibilidad muy baja
Baja California,2171,Ensenada,700,Accesibilidad alta
Baja California,2172,Ensenada,782.8,Accesibilidad alta
Baja California,2173,Ensenada,"1,772.80",Accesibilidad media
Baja California,2174,Ensenada,441.4,Accesibilidad muy alta
Baja California,2175,Ensenada,0,Accesibilidad muy alta
Baja California,2176,Ensenada,919.2,Accesibilidad alta
Baja California,2177,Ensenada,100,Accesibilidad alta
Baja California,2178,Ensenada,"7,029.60",Accesibilidad muy baja
Baja California,2179,Ensenada,"3,045.60",Accesibilidad muy baja
Baja California,2180,Ensenada,"29,643.50",Accesibilidad muy baja
Baja California,2181,Ensenada,"3,124.30",Accesibilidad muy baja
Baja California,2182,Ensenada,"53,851.00",Accesibilidad muy baja
Baja California,2183,Ensenada,565.7,Accesibilidad alta
Baja California,2184,Ensenada,"7,899.10",Accesibilidad muy baja
Baja California,2185,Ensenada,"9,027.60",Accesibilidad muy baja
Baja California,2186,Ensenada,"3,891.40",Accesibilidad muy baja
Baja California,2187,Ensenada,"8,432.60",Accesibilidad muy baja
Baja California,2188,Ensenada,"18,143.90",Accesibilidad muy baja
Baja California,2189,Ensenada,482.8,Accesibilidad alta
Baja California,2190,Ensenada,"14,970.20",Accesibilidad muy baja
Baja California,2191,Ensenada,141.4,Accesibilidad alta
Baja California,2192,Ensenada,"60,695.80",Accesibilidad muy baja
Baja California,2193,Ensenada,"46,976.30",Accesibilidad muy baja
Baja California,2194,Ensenada,"1,000.00",Accesibilidad alta
Baja California,2195,Ensenada,400,Accesibilidad alta
Baja California,2196,Ensenada,"92,797.30",Accesibilidad muy baja
Baja California,2197,Ensenada,"130,004.40",Accesibilidad muy baja
Baja California,2198,Ensenada,"10,852.70",Accesibilidad muy baja
Baja California,2199,Ensenada,"45,064.40",Accesibilidad muy baja
Baja California,2200,Ensenada,"10,374.60",Accesibilidad muy baja
Baja California,2201,Ensenada,"7,372.80",Accesibilidad muy baja
Baja California,2202,Ensenada,"16,771.40",Accesibilidad muy baja
Baja California,2203,Ensenada,"8,277.00",Accesibilidad muy baja
Baja California,2204,Ensenada,300,Accesibilidad alta
Baja California,2205,Ensenada,"6,109.20",Accesibilidad muy baja
Baja California,2206,Ensenada,0,Accesibilidad alta
Baja California,2207,Ensenada,"1,532.80",Accesibilidad media
Baja California,2208,Ensenada,100,Accesibilidad alta
Baja California,2209,Ensenada,200,Accesibilidad alta
Baja California,2210,Ensenada,600,Accesibilidad alta
Baja California,2211,Ensenada,753.6,Accesibilidad alta
Baja California,2212,Ensenada,350,Accesibilidad alta
Baja California,2213,Ensenada,"5,079.90",Accesibilidad muy baja
Baja California,2214,Ensenada,400,Accesibilidad alta
Baja California,2215,Ensenada,"89,500.10",Accesibilidad muy baja
Baja California,2216,Ensenada,"1,938.50",Accesibilidad media
Baja California,2217,Ensenada,"2,743.50",Accesibilidad muy baja
Baja California,2218,Ensenada,"13,282.30",Accesibilidad muy baja
Baja California,2219,Ensenada,"1,000.00",Accesibilidad alta
Baja California,2220,Ensenada,441.4,Accesibilidad alta
Baja California,2221,Ensenada,"25,599.00",Accesibilidad muy baja
Baja California,2222,Ensenada,807.1,Accesibilidad alta
Baja California,2223,Ensenada,724.3,Accesibilidad alta
Baja California,2224,Ensenada,"7,820.50",Accesibilidad muy baja
Baja California,2225,Ensenada,0,Accesibilidad alta
Baja California,2226,Ensenada,0,Accesibilidad alta
Baja California,2227,Ensenada,"206,000.00",Accesibilidad muy baja
Baja California,2228,Ensenada,"6,052.70",Accesibilidad muy baja
Baja California,2229,Ensenada,"12,693.30",Accesibilidad muy baja
Baja California,2230,Ensenada,"3,678.40",Accesibilidad muy baja
Baja California,2231,Ensenada,"4,349.10",Accesibilidad muy baja
Baja California,2232,Ensenada,200,Accesibilidad alta
Baja California,2233,Ensenada,200,Accesibilidad alta
Baja California,2234,Ensenada,200,Accesibilidad alta
Baja California,2235,Ensenada,"103,900.50",Accesibilidad muy baja
Baja California,2236,Ensenada,912.1,Accesibilidad alta
Baja California,2237,Ensenada,998.5,Accesibilidad alta
Baja California,2238,Ensenada,282.8,Accesibilidad alta
Baja California,2239,Ensenada,200,Accesibilidad muy alta
Baja California,2240,Ensenada,0,Accesibilidad alta
Baja California,2241,Ensenada,100,Accesibilidad muy alta
Baja California,2242,Ensenada,400,Accesibilidad muy alta
Baja California,2243,Ensenada,482.8,Accesibilidad alta
Baja California,2244,Ensenada,"1,655.60",Accesibilidad media
Baja California,2245,Ensenada,100,Accesibilidad muy alta
Baja California,2246,Ensenada,353.6,Accesibilidad alta
Baja California,2247,Ensenada,100,Accesibilidad alta
Baja California,2248,Ensenada,"1,200.00",Accesibilidad media
Baja California,2249,Ensenada,200,Accesibilidad alta
Baja California,2250,Ensenada,150,Accesibilidad alta
Baja California,2251,Ensenada,"1,331.40",Accesibilidad media
Baja California,2252,Ensenada,241.4,Accesibilidad alta
Baja California,2253,Ensenada,"71,250.70",Accesibilidad muy baja
Baja California,2254,Ensenada,"39,592.80",Accesibilidad muy baja
Baja California,2255,Ensenada,"1,200.00",Accesibilidad media
Baja California,2256,Ensenada,"3,531.40",Accesibilidad muy baja
Baja California,2257,Ensenada,"29,542.00",Accesibilidad muy baja
Baja California,2258,Ensenada,141.4,Accesibilidad muy alta
Baja California,2259,Ensenada,848.5,Accesibilidad alta
Baja California,2260,Ensenada,"3,449.10",Accesibilidad muy baja
Baja California,2261,Ensenada,"1,607.10",Accesibilidad media
Baja California,2262,Ensenada,241.4,Accesibilidad muy alta
Baja California,2263,Ensenada,"1,600.00",Accesibilidad media
Baja California,2264,Ensenada,"17,564.00",Accesibilidad muy baja
Baja California,2265,Ensenada,200,Accesibilidad muy alta
Baja California,2266,Ensenada,"14,445.90",Accesibilidad muy baja
Baja California,2267,Ensenada,"33,430.90",Accesibilidad muy baja
Baja California,2268,Ensenada,"13,936.80",Accesibilidad muy baja
Baja California,2269,Ensenada,532.8,Accesibilidad muy alta
Baja California,2270,Ensenada,"5,169.80",Accesibilidad muy baja
Baja California,2271,Ensenada,"2,542.00",Accesibilidad muy baja
Baja California,2272,Ensenada,"11,900.40",Accesibilidad muy baja
Baja California,2273,Ensenada,"19,524.60",Accesibilidad muy baja
Baja California,2274,Ensenada,"2,472.80",Accesibilidad muy baja
Baja California,2275,Ensenada,212.1,Accesibilidad alta
Baja California,2276,Ensenada,"80,830.30",Accesibilidad muy baja
Baja California,2277,Ensenada,565.7,Accesibilidad alta
Baja California,2278,Ensenada,0,Accesibilidad muy alta
Baja California,2279,Ensenada,"5,232.60",Accesibilidad muy baja
Baja California,2280,Ensenada,0,Accesibilidad alta
Baja California,2281,Ensenada,"67,453.80",Accesibilidad muy baja
Baja California,2282,Ensenada,141.4,Accesibilidad alta
Baja California,2283,Ensenada,"3,107.10",Accesibilidad muy baja
Baja California,2284,Ensenada,200,Accesibilidad alta
Baja California,2285,Ensenada,"7,118.40",Accesibilidad muy baja
Baja California,2286,Ensenada,"28,935.60",Accesibilidad muy baja
Baja California,2287,Ensenada,524.3,Accesibilidad alta
Baja California,2288,Ensenada,"3,933.50",Accesibilidad muy baja
Baja California,2289,Ensenada,"1,624.30",Accesibilidad media
Baja California,2290,Ensenada,"38,360.00",Accesibilidad muy baja
Baja California,2291,Ensenada,"2,700.00",Accesibilidad muy baja
Baja California,2292,Ensenada,"1,689.90",Accesibilidad media
Baja California,2293,Ensenada,"3,671.30",Accesibilidad muy baja
Baja California,2294,Ensenada,765.7,Accesibilidad alta
Baja California,2295,Ensenada,"38,056.10",Accesibilidad muy baja
Baja California,2296,Ensenada,200,Accesibilidad alta
Baja California,2297,Ensenada,"2,793.50",Accesibilidad muy baja
Baja California,2298,Ensenada,"60,780.60",Accesibilidad muy baja
Baja California,2299,Ensenada,141.4,Accesibilidad alta
Baja California,2300,Ensenada,"79,159.50",Accesibilidad muy baja
Baja California,2301,Ensenada,"4,794.10",Accesibilidad muy baja
Baja California,2302,Ensenada,"2,941.40",Accesibilidad baja
Baja California,2303,Ensenada,"80,945.90",Accesibilidad muy baja
Baja California,2304,Ensenada,"1,062.10",Accesibilidad media
Baja California,2305,Ensenada,"3,082.80",Accesibilidad muy baja
Baja California,2306,Ensenada,"4,880.50",Accesibilidad muy baja
Baja California,2307,Ensenada,"1,332.80",Accesibilidad media
Baja California,2308,Ensenada,"1,200.00",Accesibilidad media
Baja California,2309,Ensenada,848.5,Accesibilidad alta
Baja California,2310,Ensenada,150,Accesibilidad alta
Baja California,2311,Ensenada,"3,652.70",Accesibilidad muy baja
Baja California,2312,Ensenada,"2,600.00",Accesibilidad muy baja
Baja California,2313,Ensenada,382.8,Accesibilidad alta
Baja California,2314,Ensenada,482.8,Accesibilidad alta
Baja California,2315,Ensenada,"7,309.20",Accesibilidad muy baja
Baja California,2316,Ensenada,"7,353.90",Accesibilidad muy baja
Baja California,2317,Ensenada,0,Accesibilidad alta
Baja California,2318,Ensenada,595,Accesibilidad alta
Baja California,2319,Ensenada,"1,107.10",Accesibilidad baja
Baja California,2320,Ensenada,"6,609.20",Accesibilidad muy baja
Baja California,2321,Ensenada,100,Accesibilidad alta
Baja California,2322,Ensenada,"6,742.60",Accesibilidad muy baja
Baja California,2323,Ensenada,"5,906.20",Accesibilidad muy baja
Baja California,2324,Ensenada,"3,394.10",Accesibilidad muy baja
Baja California,2325,Ensenada,"1,048.50",Accesibilidad media
Baja California,2326,Ensenada,353.6,Accesibilidad alta
Baja California,2327,Ensenada,"6,679.90",Accesibilidad muy baja
Baja California,2328,Ensenada,"1,400.00",Accesibilidad media
Baja California,2329,Ensenada,"2,933.50",Accesibilidad muy baja
Baja California,2330,Ensenada,877.8,Accesibilidad alta
Baja California,2331,Ensenada,882.8,Accesibilidad alta
Baja California,2332,Ensenada,"2,616.30",Accesibilidad muy baja
Baja California,2333,Ensenada,141.4,Accesibilidad muy alta
Baja California,2334,Ensenada,"3,107.10",Accesibilidad muy baja
Baja California,2335,Ensenada,"2,602.10",Accesibilidad muy baja
Baja California,2336,Ensenada,"1,295.00",Accesibilidad media
Baja California,2337,Ensenada,"1,600.00",Accesibilidad media
Baja California,2338,Ensenada,"2,315.70",Accesibilidad muy baja
Baja California,2339,Ensenada,900,Accesibilidad alta
Baja California,2340,Ensenada,"20,363.10",Accesibilidad muy baja
Baja California,2341,Ensenada,212.1,Accesibilidad alta
Baja California,2342,Ensenada,"32,599.90",Accesibilidad muy baja
Baja California,2343,Ensenada,"1,300.00",Accesibilidad media
Baja California,2344,Ensenada,"1,000.00",Accesibilidad alta
Baja California,2345,Ensenada,200,Accesibilidad alta
Baja California,2346,Ensenada,"3,302.10",Accesibilidad muy baja
Baja California,2347,Ensenada,"7,474.90",Accesibilidad muy baja
Baja California,2348,Ensenada,"65,844.20",Accesibilidad muy baja
Baja California,2349,Ensenada,"42,699.90",Accesibilidad muy baja
Baja California,2350,Ensenada,200,Accesibilidad alta
Baja California,2351,Ensenada,"16,564.80",Accesibilidad muy baja
Baja California,2352,Ensenada,"20,072.50",Accesibilidad muy baja
Baja California,2353,Ensenada,0,Accesibilidad alta
Baja California,2354,Ensenada,"9,912.50",Accesibilidad muy baja
Baja California,2355,Ensenada,100,Accesibilidad alta
Baja California,2356,Ensenada,200,Accesibilidad muy alta
Baja California,2357,Ensenada,"6,621.90",Accesibilidad muy baja
Baja California,2358,Ensenada,"13,865.40",Accesibilidad muy baja
Baja California,2359,Ensenada,"16,756.20",Accesibilidad muy baja
Baja California,2360,Ensenada,"4,074.90",Accesibilidad muy baja
Baja California,2361,Ensenada,"12,703.90",Accesibilidad muy baja
Baja California,2362,Ensenada,"10,787.00",Accesibilidad muy baja
Baja California,2363,Ensenada,"40,838.10",Accesibilidad muy baja
Baja California,2364,Ensenada,141.4,Accesibilidad alta
Baja California,2365,Ensenada,"1,600.00",Accesibilidad media
Baja California,2366,Ensenada,"1,248.50",Accesibilidad media
Baja California,2367,Ensenada,"4,395.60",Accesibilidad muy baja
Baja California,2368,Ensenada,"78,721.10",Accesibilidad muy baja
Baja California,2369,Ensenada,"71,523.80",Accesibilidad muy baja
Baja California,2370,Ensenada,"103,706.70",Accesibilidad muy baja
Baja California,2371,Ensenada,"62,678.40",Accesibilidad muy baja
Baja California,2372,Ensenada,"1,600.00",Accesibilidad media
Baja California,2373,Ensenada,"1,600.00",Accesibilidad media
Baja California,2374,Ensenada,"1,800.00",Accesibilidad media
Baja California,2375,Ensenada,"5,899.10",Accesibilidad muy baja
Baja California,2376,Ensenada,0,Accesibilidad alta
Baja California,2377,Ensenada,"9,503.90",Accesibilidad muy baja
Baja California,2378,Ensenada,"32,476.20",Accesibilidad muy baja
Baja California,2379,Ensenada,"1,414.20",Accesibilidad media
Baja California,2380,Ensenada,919.2,Accesibilidad alta
Baja California,2381,Ensenada,"1,089.90",Accesibilidad media
Baja California,2382,Ensenada,"3,450.00",Accesibilidad muy baja
Baja California,2383,Ensenada,0,Accesibilidad alta
Baja California,2384,Ensenada,"2,234.90",Accesibilidad muy baja
Baja California,2385,Ensenada,500,Accesibilidad alta
Baja California,2386,Ensenada,300,Accesibilidad alta
Baja California,2387,Ensenada,482.8,Accesibilidad alta
Baja California,2388,Ensenada,"11,246.80",Accesibilidad muy baja
Baja California,2389,Ensenada,"14,148.00",Accesibilidad muy baja
Baja California,2390,Ensenada,"13,501.00",Accesibilidad muy baja
Baja California,2391,Ensenada,200,Accesibilidad alta
Baja California,2392,Ensenada,"84,168.20",Accesibilidad muy baja
Baja California,2393,Ensenada,"1,000.00",Accesibilidad alta
Baja California,2394,Ensenada,212.1,Accesibilidad alta
Baja California,2395,Ensenada,450,Accesibilidad alta
Baja California,2396,Ensenada,"1,865.70",Accesibilidad media
Baja California,2397,Ensenada,800,Accesibilidad alta
Baja California,2398,Ensenada,"19,374.40",Accesibilidad muy baja
Baja California,2399,Ensenada,"2,282.80",Accesibilidad muy baja
Baja California,2400,Ensenada,741.4,Accesibilidad muy alta
Baja California,2401,Ensenada,"4,200.00",Accesibilidad muy baja
Baja California,2402,Ensenada,"47,954.00",Accesibilidad muy baja
Baja California,2403,Ensenada,"15,530.40",Accesibilidad muy baja
Baja California,2404,Ensenada,100,Accesibilidad muy alta
Baja California,2405,Ensenada,"48,897.10",Accesibilidad muy baja
Baja California,2406,Ensenada,600,Accesibilidad alta
Baja California,2407,Ensenada,500,Accesibilidad alta
Baja California,2408,Ensenada,"1,900.00",Accesibilidad media
Baja California,2409,Ensenada,"14,456.60",Accesibilidad muy baja
Baja California,2410,Ensenada,"107,685.90",Accesibilidad muy baja
Baja California,2411,Ensenada,300,Accesibilidad alta
Baja California,2412,Ensenada,762.1,Accesibilidad alta
Baja California,2413,Ensenada,"5,187.00",Accesibilidad muy baja
Baja California,2414,Ensenada,"22,818.20",Accesibilidad muy baja
Baja California,2415,Ensenada,"32,152.50",Accesibilidad muy baja
Baja California,2416,Ensenada,"14,721.10",Accesibilidad muy baja
Baja California,2417,Ensenada,"2,664.20",Accesibilidad muy baja
Baja California,2418,Ensenada,"6,236.40",Accesibilidad muy baja
Baja California,2419,Ensenada,"15,221.10",Accesibilidad muy baja
Baja California,2420,Ensenada,"6,935.50",Accesibilidad muy baja
Baja California,2421,Ensenada,"10,229.00",Accesibilidad muy baja
Baja California,2422,Ensenada,"6,489.90",Accesibilidad muy baja
Baja California,2423,Ensenada,0,Accesibilidad muy alta
Baja California,2424,Ensenada,"42,600.00",Accesibilidad muy baja
Baja California,2425,Ensenada,"1,389.90",Accesibilidad media
Baja California,2426,Ensenada,"3,564.80",Accesibilidad muy baja
Baja California,2427,Ensenada,"3,037.00",Accesibilidad muy baja
Baja California,2428,Ensenada,200,Accesibilidad alta
Baja California,2429,Ensenada,"3,231.40",Accesibilidad muy baja
Baja California,2430,Ensenada,"8,594.10",Accesibilidad muy baja
Baja California,2431,Ensenada,695,Accesibilidad alta
Baja California,2432,Ensenada,291.4,Accesibilidad alta
Baja California,2433,Ensenada,"4,633.50",Accesibilidad muy baja
Baja California,2434,Ensenada,"13,828.80",Accesibilidad muy baja
Baja California,2435,Ensenada,"79,597.10",Accesibilidad muy baja
Baja California,2436,Ensenada,"1,202.10",Accesibilidad media
Baja California,2437,Ensenada,"205,159.80",Accesibilidad muy baja
Baja California,2438,Ensenada,"75,740.30",Accesibilidad muy baja
Baja California,2439,Ensenada,"43,889.30",Accesibilidad muy baja
Baja California,2440,Ensenada,"32,919.10",Accesibilidad muy baja
Baja California,2441,Ensenada,"7,353.90",Accesibilidad muy baja
Baja California,2442,Ensenada,"4,095.60",Accesibilidad baja
Baja California,2443,Ensenada,"93,624.20",Accesibilidad muy baja
Baja California,2444,Ensenada,"2,264.20",Accesibilidad muy baja
